t,true_x,true_y,true_theta,wheel_v,gyro_w,sign_id,sign_range,sign_bearing
0.0,0.0000,0.0000,0.00000,10.0787,0.02196,0,26.269,0.14843
0.1,1.0000,0.0000,0.00000,10.0532,0.01050,,,
0.2,2.0000,0.0000,0.00000,10.1200,0.00791,,,
0.3,3.0000,0.0000,0.00000,10.1210,-0.01017,,,
0.4,4.0000,0.0000,0.00000,10.1627,0.01879,,,
0.5,5.0000,0.0000,0.00000,9.8254,-0.00458,,,
0.6,6.0000,0.0000,0.00000,9.8223,-0.03223,,,
0.7,7.0000,0.0000,0.00000,9.9044,-0.03205,,,
0.8,8.0000,0.0000,0.00000,10.1100,0.02076,,,
0.9,9.0000,0.0000,0.00000,10.1873,0.01836,,,
1.0,10.0000,0.0000,0.00000,9.9134,0.02514,,,
1.1,11.0000,0.0000,0.00000,9.7925,0.00040,,,
1.2,12.0000,0.0000,0.00000,10.4388,-0.01414,,,
1.3,13.0000,0.0000,0.00000,10.3450,0.01040,,,
1.4,14.0000,0.0000,0.00000,9.9293,0.00295,,,
1.5,15.0000,0.0000,0.00000,9.9392,0.02481,,,
1.6,16.0000,0.0000,0.00000,10.2660,0.01072,,,
1.7,17.0000,0.0000,0.00000,10.1100,-0.00724,,,
1.8,18.0000,0.0000,0.00000,9.9612,-0.00173,,,
1.9,19.0000,0.0000,0.00000,9.9450,-0.04763,1,30.919,0.32499
2.0,20.0000,0.0000,0.00000,9.8945,0.13447,,,
2.1,21.0000,0.0000,0.01667,9.8836,0.18263,,,
2.2,21.9999,0.0167,0.03333,10.0347,0.18293,,,
2.3,22.9993,0.0500,0.05000,10.4330,0.17974,,,
2.4,23.9981,0.1000,0.06667,9.6931,0.15769,,,
2.5,24.9958,0.1666,0.08333,10.2160,0.16159,,,
2.6,25.9924,0.2498,0.10000,9.9715,0.17547,,,
2.7,26.9874,0.3497,0.11667,9.8896,0.17997,,,
2.8,27.9806,0.4661,0.13333,9.7746,0.16006,,,
2.9,28.9717,0.5990,0.15000,10.0191,0.17231,,,
3.0,29.9605,0.7484,0.16667,10.1610,0.16801,,,
