t,x,y,theta,v,omega,v_meas,omega_meas,gnss_x,gnss_y
0.0,0.000,0.000,0.00000,10.000,0.00000,10.118,-0.02368,0.105,1.579
0.1,1.000,0.000,0.00000,10.020,0.00000,10.100,-0.02014,,
0.2,2.002,0.000,0.00000,10.040,0.00000,10.220,0.00707,,
0.3,3.006,0.000,0.00000,10.060,0.00000,10.242,-0.01507,,
0.4,4.012,0.000,0.00000,10.080,0.00000,10.324,-0.01110,,
0.5,5.020,0.000,0.00000,10.100,0.00000,9.838,0.00365,,
0.6,6.030,0.000,0.00000,10.120,0.00000,9.853,0.01845,,
0.7,7.042,0.000,0.00000,10.140,0.00000,9.996,-0.00648,,
0.8,8.056,0.000,0.00000,10.160,0.00000,10.325,-0.02967,,
0.9,9.072,0.000,0.00000,10.180,0.00000,10.461,-0.04360,,
1.0,10.090,0.000,0.00000,10.200,0.00000,10.070,-0.02083,10.033,-3.118
1.1,11.110,0.000,0.00000,10.220,0.00000,9.908,-0.00079,,
1.2,12.132,0.000,0.00000,10.239,0.00000,10.898,-0.01103,,
1.3,13.156,0.000,0.00000,10.259,0.00000,10.777,0.02272,,
1.4,14.182,0.000,0.00000,10.279,0.00000,10.173,-0.00905,,
1.5,15.210,0.000,0.00000,10.299,0.00000,10.208,0.01215,,
1.6,16.240,0.000,0.00000,10.319,0.00000,10.718,0.03127,,
1.7,17.271,0.000,0.00000,10.338,0.00000,10.503,-0.01789,,
1.8,18.305,0.000,0.00000,10.358,0.00000,10.300,0.01759,,
1.9,19.341,0.000,0.00000,10.378,0.00000,10.295,0.00245,,
2.0,20.379,0.000,0.00000,10.397,0.00000,10.239,0.00075,20.114,-2.391
2.1,21.419,0.000,0.00000,10.417,0.00000,10.242,-0.02763,,
2.2,22.460,0.000,0.00000,10.436,0.00000,10.488,0.01121,,
2.3,23.504,0.000,0.00000,10.456,0.00000,11.105,-0.03656,,
2.4,24.549,0.000,0.00000,10.475,0.00000,10.015,0.01132,,
2.5,25.597,0.000,0.00000,10.495,0.00000,10.819,-0.00894,,
2.6,26.646,0.000,0.00000,10.514,0.00000,10.471,0.03821,,
2.7,27.698,0.000,0.00000,10.533,0.00000,10.368,-0.00237,,
2.8,28.751,0.000,0.00000,10.553,0.00000,10.215,-0.01647,,
2.9,29.807,0.000,0.00000,10.572,0.00000,10.601,0.04433,,
3.0,30.864,0.000,0.00000,10.591,0.00000,10.833,0.00820,31.751,0.206
3.1,31.923,0.000,0.00000,10.610,0.00000,10.116,0.01073,,
3.2,32.984,0.000,0.00000,10.629,0.00000,10.891,-0.01126,,
3.3,34.047,0.000,0.00000,10.648,0.00000,10.414,0.02182,,
3.4,35.112,0.000,0.00000,10.667,0.00000,10.289,0.00669,,
3.5,36.178,0.000,0.00000,10.686,0.00000,10.714,0.00845,,
3.6,37.247,0.000,0.00000,10.705,0.00000,10.349,-0.00526,,
3.7,38.317,0.000,0.00000,10.723,0.00000,11.241,-0.00452,,
3.8,39.390,0.000,0.00000,10.742,0.00000,10.407,-0.00797,,
3.9,40.464,0.000,0.00000,10.760,0.00000,10.930,0.02508,,
4.0,41.540,0.000,0.00000,10.779,0.00000,10.814,0.00304,39.542,0.160
4.1,42.618,0.000,0.00000,10.797,0.00000,11.110,0.00566,,
4.2,43.697,0.000,0.00000,10.816,0.00000,10.783,0.03537,,
4.3,44.779,0.000,0.00000,10.834,0.00000,10.529,0.00550,,
4.4,45.862,0.000,0.00000,10.852,0.00000,10.928,-0.05774,,
4.5,46.948,0.000,0.00000,10.870,0.00000,11.512,0.01763,,
4.6,48.035,0.000,0.00000,10.888,0.00000,10.556,0.01877,,
4.7,49.123,0.000,0.00000,10.906,0.00000,10.749,-0.03691,,
4.8,50.214,0.000,0.00000,10.924,0.00000,10.177,-0.02414,,
