t,true_s,wheel_v,match,match_dist
0.0,40.000,12.1181,light,11.061
0.1,41.200,12.1269,,
0.2,42.405,12.2742,,
0.3,43.614,12.3227,,
0.4,44.828,12.4320,,
0.5,46.047,11.9727,light,28.821
0.6,47.271,12.0145,,
0.7,48.499,12.1838,,
0.8,49.731,12.5380,,
0.9,50.969,12.6994,,
1.0,52.210,12.3337,,
1.1,53.457,12.1969,,
1.2,54.708,13.2103,,
1.3,55.963,13.1132,,
1.4,57.222,12.5326,,
1.5,58.486,12.5898,,
1.6,59.754,13.1216,,
1.7,61.027,12.9286,,
1.8,62.303,12.7455,,
1.9,63.583,12.7607,,
2.0,64.868,12.7235,,
2.1,66.156,12.7448,niche,28.954
2.2,67.448,13.0082,,
2.3,68.743,13.6415,,
2.4,70.043,12.5665,,
2.5,71.345,13.3847,,
2.6,72.651,13.0507,,
2.7,73.961,12.9596,,
2.8,75.273,12.8177,,
2.9,76.589,13.2139,,
3.0,77.907,13.4551,,
3.1,79.229,12.7461,,
3.2,80.553,13.5288,,
3.3,81.879,13.0572,,
3.4,83.209,12.9366,,
3.5,84.540,13.3644,,
3.6,85.874,13.0015,,
3.7,87.209,13.8940,,
3.8,88.547,13.0599,,
3.9,89.886,13.5810,,
4.0,91.228,13.4614,,
4.1,92.570,13.7534,,
4.2,93.914,13.4203,,
4.3,95.260,13.1588,light,29.911
4.4,96.606,13.5495,,
4.5,97.953,14.1240,,
4.6,99.301,13.1560,,
4.7,100.650,13.3364,,
4.8,102.000,12.7509,,
4.9,103.349,13.4416,,
5.0,104.699,13.8121,,
5.1,106.049,13.4171,,
5.2,107.399,13.8959,,
5.3,108.749,13.3793,,
5.4,110.098,13.2830,,
5.5,111.447,13.0338,,
5.6,112.795,13.1171,,
5.7,114.143,13.4229,,
5.8,115.489,13.7199,,
5.9,116.834,13.1929,,
6.0,118.178,13.5877,,
6.1,119.521,13.9162,,
6.2,120.862,12.6583,light,27.928
6.3,122.202,13.5110,,
6.4,123.539,13.6750,,
6.5,124.875,13.6909,,
6.6,126.209,13.2765,,
6.7,127.540,12.8016,,
6.8,128.869,12.7775,,
6.9,130.196,13.5185,,
7.0,131.520,13.6717,,
7.1,132.841,13.3638,,
7.2,134.160,13.2938,,
7.3,135.475,13.2003,,
7.4,136.788,13.3254,,
7.5,138.097,12.4109,,
7.6,139.403,12.8235,,
7.7,140.706,13.1307,,
7.8,142.005,12.6937,,
7.9,143.301,13.2359,,
8.0,144.593,12.7679,,
8.1,145.881,12.3188,light,27.128
8.2,147.165,13.2519,,
8.3,148.445,12.7950,,
8.4,149.722,12.5748,,
8.5,150.994,12.5960,,
8.6,152.262,12.9348,,
8.7,153.526,12.2211,,
8.8,154.786,12.1404,,
8.9,156.041,12.6989,,
9.0,157.292,12.1475,,
9.1,158.538,11.9352,,
9.2,159.780,12.3347,,
9.3,161.017,11.8837,,
9.4,162.250,11.9575,,
9.5,163.478,12.0327,,
9.6,164.701,12.1096,,
9.7,165.920,12.1753,,
9.8,167.134,12.1385,,
9.9,168.344,11.9846,,
10.0,169.549,12.1401,,
10.1,170.749,12.0313,light,30.625
10.2,171.944,11.8157,,
10.3,173.134,12.0259,,
10.4,174.320,11.5983,,
10.5,175.501,12.0145,,
10.6,176.678,11.8057,,
10.7,177.850,12.0081,,
10.8,179.017,11.1830,,
10.9,180.180,11.0133,,
11.0,181.338,12.0181,,
11.1,182.492,11.0914,,
11.2,183.641,11.6516,,
11.3,184.786,11.0993,,
11.4,185.926,11.4013,,
11.5,187.062,11.2180,,
11.6,188.194,11.2370,,
11.7,189.322,11.6862,,
11.8,190.445,11.9730,,
11.9,191.565,10.6967,,
12.0,192.681,10.9140,,
12.1,193.793,10.6617,,
12.2,194.901,11.1406,,
12.3,196.005,10.5066,light,29.827
12.4,197.106,11.2800,,
12.5,198.203,11.2903,,
12.6,199.297,11.0361,,
12.7,200.388,11.0774,,
12.8,201.475,10.8176,,
12.9,202.560,10.9296,,
13.0,203.641,10.7706,,
13.1,204.720,10.4145,,
13.2,205.796,11.2071,,
13.3,206.869,10.4068,,
13.4,207.940,10.2838,,
13.5,209.009,10.4918,,
13.6,210.075,10.5339,,
13.7,211.139,10.8220,,
13.8,212.202,10.4292,,
13.9,213.262,10.2310,,
14.0,214.321,11.0298,,
14.1,215.378,10.9824,niche,28.781
14.2,216.434,10.6885,,
14.3,217.489,10.8125,,
14.4,218.543,10.6675,,
14.5,219.595,10.5647,,
14.6,220.647,10.8205,,
14.7,221.698,11.1227,,
14.8,222.749,10.4398,,
14.9,223.799,9.9524,,
15.0,224.849,10.4995,,
15.1,225.899,10.8245,,
15.2,226.949,10.1502,,
15.3,228.000,11.0045,,
15.4,229.050,10.3317,,
15.5,230.101,10.3111,,
15.6,231.153,10.3121,,
15.7,232.206,10.2092,,
15.8,233.260,10.2601,,
15.9,234.314,10.5416,,
16.0,235.370,10.4289,,
16.1,236.428,10.9962,,
16.2,237.486,10.3635,,
16.3,238.547,10.7172,,
16.4,239.609,10.4024,,
16.5,240.674,10.7877,,
16.6,241.740,10.7482,,
16.7,242.809,10.7625,,
16.8,243.879,10.4924,,
16.9,244.953,11.0541,,
17.0,246.029,10.8063,light,28.469
17.1,247.107,11.0212,,
17.2,248.189,11.1876,,
17.3,249.273,11.1902,,
17.4,250.361,10.8561,,
17.5,251.451,11.3124,,
17.6,252.545,10.2094,,
17.7,253.643,10.7354,,
17.8,254.743,11.2079,,
17.9,255.848,11.2497,,
18.0,256.956,11.3676,,
18.1,258.068,11.2651,,
18.2,259.183,10.8690,,
18.3,260.303,11.2929,,
18.4,261.427,11.4281,,
18.5,262.554,11.3441,,
18.6,263.686,10.8506,,
18.7,264.822,12.3828,,
18.8,265.963,11.3131,,
18.9,267.108,11.6811,,
19.0,268.257,11.9146,,
19.1,269.410,12.0860,,
19.2,270.569,11.9927,light,28.666
19.3,271.731,11.5714,,
19.4,272.899,12.0250,,
19.5,274.071,11.9438,,
19.6,275.247,11.6034,,
19.7,276.428,12.1121,,
19.8,277.614,11.8158,,
19.9,278.805,12.0494,,
20.0,280.000,12.3035,,
20.1,281.200,12.3674,,
20.2,282.405,11.9755,,
20.3,283.614,12.2458,,
20.4,284.828,12.2743,,
20.5,286.047,12.1705,,
20.6,287.271,11.8539,,
20.7,288.499,11.8643,,
20.8,289.731,12.1676,,
20.9,290.969,12.4388,niche,29.151
21.0,292.210,12.7755,,
21.1,293.457,12.6997,,
21.2,294.708,12.8367,,
21.3,295.963,12.7082,,
21.4,297.222,12.7123,,
21.5,298.486,12.4834,,
21.6,299.754,12.9594,,
21.7,301.027,12.6499,,
21.8,302.303,12.2754,,
21.9,303.583,12.3173,,
22.0,304.868,13.1480,,
22.1,306.156,13.1497,,
22.2,307.448,13.2882,,
22.3,308.743,12.9529,,
22.4,310.043,12.7698,,
22.5,311.345,13.1716,,
22.6,312.651,13.0927,,
22.7,313.961,13.4523,,
22.8,315.273,13.2715,,
22.9,316.589,13.0316,,
23.0,317.907,13.1425,,
23.1,319.229,12.4812,,
23.2,320.553,12.7386,light,30.177
23.3,321.879,13.4855,,
23.4,323.209,13.5134,,
23.5,324.540,13.4876,,
23.6,325.874,13.1775,,
23.7,327.209,13.2555,,
23.8,328.547,13.4817,,
23.9,329.886,13.5659,,
24.0,331.228,13.2825,,
24.1,332.570,13.4800,,
24.2,333.914,13.4280,,
24.3,335.260,13.6055,,
24.4,336.606,13.5422,,
24.5,337.953,12.9190,,
24.6,339.301,13.4288,,
