t,true_x,true_y,true_vx,true_vy,imu_ax,imu_ay,sign_x,sign_y,sign_id
0.0,0.0000,-1.7500,12.0000,-0.0716,-0.2286,-0.2856,,,
0.1,1.2000,-1.7572,12.0000,-0.0716,-0.2334,-0.0228,,,
0.2,2.4000,-1.7643,12.0000,-0.0713,0.4116,0.0230,,,
0.3,3.6000,-1.7714,12.0000,-0.0706,-0.5626,0.1061,,,
0.4,4.8000,-1.7784,12.0000,-0.0695,0.2674,0.0986,,,
0.5,6.0000,-1.7853,12.0000,-0.0682,-0.2323,0.5283,,,
0.6,7.2000,-1.7920,12.0000,-0.0664,0.4461,-0.3875,,,
0.7,8.4000,-1.7986,12.0000,-0.0644,0.6279,0.0366,,,
0.8,9.6000,-1.8049,12.0000,-0.0621,0.0900,0.0512,,,
0.9,10.8000,-1.8110,12.0000,-0.0594,0.4171,-0.2860,10.537,-1.561,1
1.0,12.0000,-1.8168,12.0000,-0.0565,0.0158,0.5487,,,
1.1,13.2000,-1.8222,12.0000,-0.0533,-0.0947,0.2193,,,
1.2,14.4000,-1.8274,12.0000,-0.0498,0.1306,0.0665,,,
1.3,15.6000,-1.8322,12.0000,-0.0461,0.3948,0.6150,,,
1.4,16.8000,-1.8366,12.0000,-0.0421,-0.1140,0.0633,,,
1.5,18.0000,-1.8406,12.0000,-0.0380,0.1979,0.1392,,,
1.6,19.2000,-1.8442,12.0000,-0.0337,-0.5349,0.0491,,,
1.7,20.4000,-1.8473,12.0000,-0.0292,-0.2615,0.1460,,,
1.8,21.6000,-1.8500,12.0000,-0.0245,-0.0684,-0.3265,,,
1.9,22.8000,-1.8522,12.0000,-0.0198,0.5534,0.1939,,,
2.0,24.0000,-1.8540,12.0000,-0.0149,-0.2200,0.2858,,,
2.1,25.2000,-1.8552,12.0000,-0.0100,-0.0828,0.1364,,,
2.2,26.4000,-1.8560,12.0000,-0.0050,-0.0245,-0.0451,,,
2.3,27.6000,-1.8562,12.0000,-0.0000,0.2050,0.2065,,,
2.4,28.8000,-1.8560,12.0000,0.0050,-0.2162,0.1328,,,
2.5,30.0000,-1.8552,12.0000,0.0099,-0.4787,0.4632,,,
2.6,31.2000,-1.8540,12.0000,0.0149,-0.4014,-0.3596,,,
2.7,32.4000,-1.8523,12.0000,0.0197,0.0337,-0.2730,,,
2.8,33.6000,-1.8500,12.0000,0.0245,0.4006,0.0379,,,
2.9,34.8000,-1.8474,12.0000,0.0291,0.4565,0.1812,,,
3.0,36.0000,-1.8442,12.0000,0.0336,-0.4489,0.3463,34.133,-1.530,2
3.1,37.2000,-1.8407,12.0000,0.0379,0.0435,-0.1628,,,
3.2,38.4000,-1.8367,12.0000,0.0421,0.0898,0.0716,,,
3.3,39.6000,-1.8322,12.0000,0.0460,-0.1713,-0.0920,,,
3.4,40.8000,-1.8275,12.0000,0.0497,0.6167,0.4834,,,
3.5,42.0000,-1.8223,12.0000,0.0532,0.2467,0.1622,,,
3.6,43.2000,-1.8168,12.0000,0.0564,0.2116,0.0491,,,
3.7,44.4000,-1.8110,12.0000,0.0594,0.2109,0.2083,,,
3.8,45.6000,-1.8050,12.0000,0.0620,0.2823,0.2831,,,
3.9,46.8000,-1.7987,12.0000,0.0644,0.0953,-0.5071,,,
4.0,48.0000,-1.7921,12.0000,0.0664,0.1170,-0.3144,,,
4.1,49.2000,-1.7854,12.0000,0.0681,-0.2668,-0.2418,,,
4.2,50.4000,-1.7785,12.0000,0.0695,-0.2110,0.1800,,,
4.3,51.6000,-1.7715,12.0000,0.0705,0.2714,0.2098,,,
4.4,52.8000,-1.7644,12.0000,0.0712,-0.4504,0.0183,,,
4.5,54.0000,-1.7573,12.0000,0.0716,0.2545,-0.6566,,,
4.6,55.2000,-1.7501,12.0000,0.0716,-0.2557,0.1728,,,
4.7,56.4000,-1.7430,12.0000,0.0712,0.1667,0.0449,,,
4.8,57.6000,-1.7359,12.0000,0.0705,-0.4135,-0.3208,,,
4.9,58.8000,-1.7289,12.0000,0.0695,0.0248,0.5307,,,
5.0,60.0000,-1.7220,12.0000,0.0681,-0.0441,-0.1036,60.365,-1.810,3
5.1,61.2000,-1.7153,12.0000,0.0664,0.3037,0.0580,,,
5.2,62.4000,-1.7088,12.0000,0.0644,0.2794,0.1895,,,
5.3,63.6000,-1.7025,12.0000,0.0620,-0.0861,-0.5606,,,
5.4,64.8000,-1.6964,12.0000,0.0594,0.3568,0.3311,,,
5.5,66.0000,-1.6906,12.0000,0.0564,-0.0450,0.0228,,,
5.6,67.2000,-1.6851,12.0000,0.0532,0.2397,-0.0453,,,
5.7,68.4000,-1.6800,12.0000,0.0497,0.1180,0.1417,,,
5.8,69.6000,-1.6752,12.0000,0.0460,-0.1845,0.3223,,,
5.9,70.8000,-1.6708,12.0000,0.0421,0.1137,-0.1307,,,
6.0,72.0000,-1.6668,12.0000,0.0379,0.1489,-0.1331,,,
6.1,73.2000,-1.6632,12.0000,0.0336,-0.8209,-0.5099,,,
6.2,74.4000,-1.6601,12.0000,0.0291,-0.5864,-0.4526,,,
6.3,75.6000,-1.6574,12.0000,0.0245,0.0132,0.0428,,,
6.4,76.8000,-1.6552,12.0000,0.0197,-0.0318,0.2032,,,
6.5,78.0000,-1.6534,12.0000,0.0149,-0.1030,0.1859,,,
6.6,79.2000,-1.6522,12.0000,0.0099,-0.1386,-0.0760,,,
6.7,80.4000,-1.6515,12.0000,0.0050,-0.0922,-0.1970,,,
6.8,81.6000,-1.6512,12.0000,-0.0000,0.4995,-0.0185,,,
6.9,82.8000,-1.6515,12.0000,-0.0050,0.3192,-0.0628,,,
7.0,84.0000,-1.6522,12.0000,-0.0100,0.5167,-0.0658,,,
7.1,85.2000,-1.6535,12.0000,-0.0149,0.4361,-0.4195,84.344,-1.581,4
7.2,86.4000,-1.6552,12.0000,-0.0198,-0.0425,-0.2815,,,
7.3,87.6000,-1.6574,12.0000,-0.0245,0.2379,-0.0023,,,
7.4,88.8000,-1.6601,12.0000,-0.0292,0.1596,-0.3433,,,
7.5,90.0000,-1.6632,12.0000,-0.0337,0.1545,-0.0666,,,
7.6,91.2000,-1.6668,12.0000,-0.0380,0.0098,-0.2258,,,
7.7,92.4000,-1.6708,12.0000,-0.0421,0.1440,-0.1471,,,
7.8,93.6000,-1.6752,12.0000,-0.0461,0.0114,-0.3219,,,
7.9,94.8000,-1.6800,12.0000,-0.0498,-0.5370,0.0765,,,
8.0,96.0000,-1.6852,12.0000,-0.0533,-0.9294,0.2803,,,
8.1,97.1950,-1.6907,11.9000,-0.0565,-0.4826,0.2314,,,
8.2,98.3800,-1.6965,11.8000,-0.0594,-0.8756,-0.1714,,,
8.3,99.5550,-1.7025,11.7000,-0.0621,-0.7298,-0.6926,,,
8.4,100.7200,-1.7089,11.6000,-0.0644,-0.9428,0.3232,,,
8.5,101.8750,-1.7154,11.5000,-0.0664,-1.1861,-0.2413,,,
8.6,103.0200,-1.7221,11.4000,-0.0682,-1.1420,-0.3442,,,
8.7,104.1550,-1.7290,11.3000,-0.0695,-0.8717,-0.2029,,,
8.8,105.2800,-1.7360,11.2000,-0.0706,-0.7499,0.0144,,,
8.9,106.3950,-1.7431,11.1000,-0.0713,-1.0587,0.0308,,,
9.0,107.5000,-1.7503,11.0000,-0.0716,-1.0966,-0.0999,,,
9.1,108.5950,-1.7574,10.9000,-0.0716,-1.2674,-0.5239,,,
9.2,109.6800,-1.7646,10.8000,-0.0713,-0.4417,-0.1389,,,
9.3,110.7550,-1.7717,10.7000,-0.0706,-0.7935,0.1972,111.148,-1.954,5
9.4,111.8200,-1.7787,10.6000,-0.0695,-1.1972,0.1549,,,
9.5,112.8750,-1.7856,10.5000,-0.0682,-1.1635,0.2716,,,
9.6,113.9200,-1.7923,10.4000,-0.0664,-1.1048,-0.2410,,,
